Co-term, , , , , , , ,Target,Co-term
Dynasty,shi,han,houhan,sanguo,jiutang,song,ming,Total,Total
娵,1,3,1,0,0,0,4,9,9
訾,11,65,17,4,11,33,36,177,177
摯,14,16,2,6,22,177,24,261,261
善,573,671,601,371,1551,4218,2080,10065,10065
弟,802,876,817,354,1354,1547,1444,7194,7194
堯,122,134,98,43,209,724,215,1545,1545
如,1274,1465,1037,700,2829,7873,4877,20055,20055
就,150,301,510,221,715,1827,1003,4727,4727
望,268,538,443,229,1270,2563,1288,6599,6599
富,251,324,182,69,369,943,628,2766,2766
驕,112,143,102,44,181,207,209,998,998
貴,361,550,580,191,917,1641,1985,6225,6225
舒,117,274,73,30,284,447,123,1348,1348
收,221,299,434,205,969,1297,806,4231,4231
純,13,41,158,44,87,727,411,1481,1481
衣,263,412,420,138,826,1587,1803,5449,5449
彤,9,3,36,4,20,29,12,113,113
車,525,925,1048,311,753,1392,628,5582,5582
乘,363,562,490,223,959,1914,1128,5639,5639
白,386,638,571,261,1125,4594,1994,9569,9569
馬,639,1184,1189,759,3195,5929,4132,17027,17027
馴,13,4,15,0,27,109,135,303,303
親,441,843,666,406,1819,3261,1685,9121,9121
九,1502,1386,1161,323,3819,6397,6716,21304,21304
既,491,548,547,291,2060,3926,2416,10279,10279
睦,10,34,56,25,133,184,112,554,554
便,153,238,213,232,863,1721,762,4182,4182
章,351,643,702,195,2350,3625,1975,9841,9841
昭,535,615,176,270,1371,1988,712,5667,5667
羲,9,31,24,37,78,111,23,313,313
昊,5,34,16,4,140,494,70,763,763
數,1027,2006,1647,788,3028,6922,4441,19859,19859
法,532,1063,696,318,2038,7107,3110,14864,14864
授,59,197,322,171,2460,3391,2981,9581,9581
分,390,732,942,395,3187,7512,4471,17629,17629
仲,384,311,265,87,645,1947,571,4210,4210
夷,436,542,497,250,727,1061,526,4039,4039
暘,3,0,3,1,1,40,79,127,127
谷,114,239,334,129,494,378,564,2252,2252
出,1385,1664,1295,869,3490,10162,5917,24782,24782
程,56,54,96,64,296,891,536,1993,1993
殷,232,244,129,79,450,64,163,1361,1361
春,360,757,736,345,1255,2416,2379,8248,8248
析,16,36,28,2,133,223,159,597,597
字,123,239,663,415,804,3215,2746,8205,8205
申,342,324,295,85,1335,3373,1325,7079,7079
叔,424,242,187,91,561,559,316,2380,2380
致,241,373,419,226,1174,2678,1873,6984,6984
永,38,303,960,157,1362,2412,4078,9310,9310
夏,380,649,657,422,1173,2938,1874,8093,8093
因,829,899,1034,391,2334,3432,2157,11076,11076
希,23,42,40,19,719,4764,583,6190,6190
革,55,76,91,23,319,680,790,2034,2034
昧,43,55,29,14,113,80,65,399,399
入,1430,1544,1141,584,4495,11064,8849,29107,29107
夜,231,355,314,186,1058,1787,1041,4972,4972
虛,159,254,206,125,508,1081,539,2872,2872
秋,263,740,633,237,1072,1974,1561,6480,6480
易,320,707,424,248,1185,2926,1452,7262,7262
毛,49,72,66,42,195,271,466,1161,1161
毨,1,0,0,0,0,0,0,1,1
都,550,1226,983,772,5032,7127,7594,23284,23284
伏,174,354,412,148,1451,1169,1047,4755,4755
短,55,92,70,47,136,324,137,861,861
昴,10,18,17,2,48,253,30,378,378
冬,137,344,450,141,815,1561,1360,4808,4808
燠,1,3,6,3,2,17,7,39,39
氄,1,0,0,0,0,0,0,1,1
歲,763,1226,782,255,1426,5310,2744,12506,12506
六,2498,2251,1534,414,4631,10377,8897,30602,30602
閏,41,115,107,14,160,645,482,1564,1564
飭,12,38,4,1,19,237,243,554,554
衆,26,153,101,326,101,313,105,1125,1125
功,793,1073,842,555,2347,3365,3495,12470,12470
興,334,609,691,419,1538,6031,2483,12105,12105
誰,81,82,69,61,131,244,199,867,867
可,1448,1792,1353,1068,4367,8550,5620,24198,24198
此,1337,1638,1066,1108,3598,5356,3156,17259,17259
嗣,109,1592,417,258,1170,875,1619,6040,6040
丹,106,229,194,102,471,1982,471,3555,3555
朱,146,198,270,142,154,1278,767,2955,2955
開,187,229,305,161,2238,4305,1964,9389,9389
吁,27,3,6,4,1,4,0,45,45
頑,6,4,18,9,14,30,33,114,114
凶,55,126,123,75,255,340,38,1012,1012
又,564,1240,1232,850,5554,10149,7223,26812,26812
讙,10,21,9,2,0,21,4,67,67
兜,4,19,18,3,9,22,19,94,94
共,447,666,571,252,455,777,680,3848,3848
工,69,104,65,27,971,1599,1799,4634,4634
聚,119,142,222,63,308,738,602,2194,2194
布,370,453,398,368,442,978,1562,4571,4571
僻,19,3,12,1,84,68,49,236,236
似,18,31,54,46,106,704,121,1080,1080
恭,85,172,332,138,729,1089,1151,3696,3696
漫,4,10,6,2,18,83,93,216,216
嗟,56,40,57,15,123,105,41,437,437
嶽,41,46,25,11,317,369,489,1298,1298
湯,287,403,99,34,200,285,355,1663,1663
洪,4,57,98,182,273,920,4056,5590,5590
滔,3,4,2,3,249,25,8,294,294
浩,11,20,9,13,70,728,145,996,996
懷,277,252,396,185,1777,1376,855,5118,5118
襄,475,243,116,85,594,988,655,3156,3156
憂,174,293,271,174,585,1378,715,3590,3590
使,2513,2558,1774,1367,10405,23373,7058,49048,49048
鯀,21,6,2,8,11,9,1,58,58
負,165,152,169,108,370,720,501,2185,2185
毀,76,152,132,70,355,466,419,1670,1670
异,1,0,0,0,17,3,0,21,21
哉,422,355,321,200,470,875,477,3120,3120
試,62,77,96,75,397,2481,907,4095,4095
已,936,913,716,493,3337,4703,4695,15793,15793
聽,480,403,313,205,630,1993,1333,5357,5357
朕,163,527,171,105,1036,977,517,3496,3496
七,1733,1538,1166,286,4116,8407,7422,24668,24668
汝,95,102,252,146,522,4383,1229,6729,6729
庸,74,86,71,54,210,287,596,1378,1378
踐,122,38,28,104,180,147,110,729,729
應,243,400,496,270,1148,3205,3261,9023,9023
鄙,79,40,62,25,111,189,64,570,570
忝,2,2,9,22,84,21,14,154,154
悉,144,142,411,154,726,1846,1522,4945,4945
戚,111,201,181,65,203,428,383,1572,1572
隱,213,138,226,56,485,629,332,2079,2079
匿,89,103,44,21,89,229,304,879,879
矜,38,29,59,48,210,106,75,565,565
閒,402,72,213,45,28,67,50,877,877
虞,190,197,235,148,507,1081,335,2693,2693
舜,174,206,61,50,133,495,147,1266,1266
聞,1225,1383,1131,712,2473,4262,3037,14223,14223
何,1234,1224,952,639,2244,3308,2756,12357,12357
盲,3,4,4,1,3,0,0,15,15
母,406,577,634,235,1069,1990,1973,6884,6884
嚚,2,2,1,1,0,5,4,15,15
傲,13,3,6,14,50,49,37,172,172
孝,759,1548,804,188,1526,2179,1717,8721,8721
烝,4,9,18,3,28,52,34,148,148
姦,118,285,76,49,26,531,8,1093,1093
吾,955,588,602,444,1099,1788,1101,6577,6577
妻,173,306,423,178,605,733,1057,3475,3475
觀,301,311,371,236,3594,4066,907,9786,9786
嬀,2,0,0,0,0,0,6,8,8
汭,11,6,3,0,14,27,14,75,75
婦,131,185,201,59,267,543,876,2262,2262
禮,659,889,890,394,4275,6716,5666,19489,19489
慎,88,134,152,85,475,254,647,1835,1835
序,75,157,112,19,284,623,270,1540,1540
門,437,773,1114,351,3311,5850,3642,15478,15478
穆,92,90,156,42,442,507,443,1772,1772
客,431,388,382,121,802,1249,472,3845,3845
林,129,256,387,144,1389,2487,2189,6981,6981
澤,231,250,158,53,505,1074,651,2922,2922
雷,28,94,88,27,173,663,501,1574,1574
行,1540,2040,1772,906,5330,11744,7039,30371,30371
迷,8,26,74,7,54,60,77,306,306
召,468,493,362,177,1191,4000,2709,9400,9400
績,15,21,65,109,207,290,334,1041,1041
年,6313,6715,4511,1880,15094,29096,33523,97132,97132
矣,1302,1132,676,468,1560,3771,2195,11104,11104
讓,231,213,293,84,564,248,319,1952,1952
懌,11,8,1,17,11,107,69,224,224
上,2357,4590,2359,881,7628,15602,7215,40632,40632
受,494,773,713,383,1371,2702,1660,8096,8096
終,328,535,484,242,1118,1745,1182,5634,5634
文,1194,1480,976,804,4930,8948,7598,25930,25930
老,306,396,363,171,603,1620,1236,4695,4695
攝,52,123,62,35,291,583,227,1373,1373
政,371,582,807,235,2159,6758,4248,15160,15160
璿,1,1,0,11,30,76,35,154,154
璣,8,11,10,6,12,87,38,172,172
衡,149,289,164,60,526,708,553,2449,2449
類,107,205,167,98,446,1246,600,2869,2869
禋,3,7,5,1,80,124,42,262,262
辯,90,70,75,28,197,137,128,725,725
羣,25,107,73,165,3,37,255,665,665
揖,25,33,27,13,54,196,99,447,447
擇,69,94,54,40,324,959,350,1890,1890
吉,201,340,132,38,722,1174,1693,4300,4300
見,1377,1726,1519,898,2467,5170,2740,15897,15897
班,13,45,190,53,262,2572,531,3666,3666
巡,69,74,141,23,311,1202,5007,6827,6827
狩,87,133,62,3,51,39,63,438,438
祡,1,1,2,0,0,0,0,4,4
秩,29,177,85,15,283,889,674,2152,2152
君,2398,1569,1010,780,1755,2160,1071,10743,10743
同,341,615,713,389,4163,6373,4918,17512,17512
律,80,223,192,25,403,1328,657,2908,2908
量,30,66,57,45,456,586,274,1514,1514
帛,55,162,149,48,381,925,365,2085,2085
器,148,204,190,131,705,1898,799,4075,4075
卒,1547,838,974,607,2682,4922,4889,16459,16459
復,1032,1754,1872,786,3940,9690,7944,27018,27018
八,1608,1471,1189,282,3843,7606,7407,23406,23406
初,533,785,1117,550,3272,6102,4437,16796,16796
禰,3,12,8,0,16,24,13,76,76
廟,209,636,361,125,1755,2706,1638,7430,7430
特,48,105,278,115,911,1840,729,4026,4026
牛,173,248,278,103,481,1048,553,2884,2884
朝,674,839,916,395,4652,7973,5315,20764,20764
告,436,462,304,158,843,1993,1380,5576,5576
肇,2,4,12,33,63,222,176,512,512
州,155,344,1297,1353,18502,31527,11892,65070,65070
決,198,234,143,80,548,1763,1357,4323,4323
刑,174,391,312,158,1286,2540,1957,6818,6818
宥,1,4,35,12,172,153,367,744,744
鞭,16,17,17,16,48,127,96,337,337
扑,1,3,0,0,0,3,1,8,8
贖,48,81,76,13,67,155,387,827,827
眚,2,19,38,3,18,27,30,137,137
烖,1,0,0,0,0,0,0,1,1
過,590,829,522,329,997,2273,1340,6880,6880
赦,152,335,272,131,534,935,417,2776,2776
怙,2,8,5,2,38,62,59,176,176
賊,115,370,769,518,2708,2643,6628,13751,13751
欽,7,147,24,154,295,956,590,2173,2173
惟,40,277,273,265,955,2524,1740,6074,6074
進,250,534,865,684,3159,8894,7255,21641,21641
果,150,130,125,163,439,1176,660,2843,2843
淫,111,185,91,33,107,141,189,857,857
辟,182,258,372,173,465,888,262,2600,2600
彊,576,287,71,83,0,26,0,1043,1043
請,769,649,526,245,3268,6896,6578,18931,18931
苗,35,35,62,24,106,416,569,1247,1247
淮,423,473,129,180,974,3476,1404,7059,7059
荆,8,0,0,0,0,5,0,13,13
變,255,458,302,175,746,1780,1217,4933,4933
狄,80,127,103,54,194,107,34,699,699
驩,61,43,1,0,39,6,3,153,153
崇,32,184,289,106,1098,6647,2121,10477,10477
蠻,63,139,231,41,324,860,1106,2764,2764
危,185,261,204,154,527,734,403,2468,2468
戎,230,146,206,77,654,836,271,2420,2420
殛,6,5,5,4,13,13,12,58,58
羽,359,455,143,330,398,744,246,2675,2675
辠,2,9,5,0,0,0,0,16,16
令,1167,1871,1779,860,6260,8014,4445,24396,24396
薦,41,167,190,55,590,2115,1328,4486,4486
凡,141,408,247,124,1306,3052,1553,6831,6831
悲,65,76,93,40,135,107,65,581,581
哀,269,560,256,111,370,396,259,2221,2221
喪,119,189,357,158,647,1235,917,3622,3622
樂,656,858,593,337,1824,3455,3141,10864,10864
思,125,380,393,257,1844,1694,1835,6528,6528
肖,48,36,8,7,39,127,69,334,334
足,586,656,412,392,950,1848,1040,5884,5884
權,148,282,325,1150,1250,3269,846,7270,7270
則,1353,1759,1333,809,4463,9022,4159,22898,22898
病,635,550,475,207,426,1016,809,4118,4118
畢,123,140,182,62,730,1129,687,3053,3053
河,776,911,1006,342,3558,8079,7504,22176,22176
覲,5,8,7,6,128,166,143,463,463
獄,92,403,411,89,447,1940,2323,5705,5705
訟,18,65,111,27,62,425,286,994,994
謳,7,10,9,0,13,10,13,62,62
歌,169,202,115,36,409,714,196,1841,1841
夫,1804,2303,1203,667,3160,4759,1777,15673,15673
重,577,739,718,437,2116,3677,2349,10613,10613
華,164,163,198,140,1018,1204,1541,4428,4428
瞽,20,14,15,2,18,19,19,107,107
叟,16,5,9,9,9,397,14,459,459
句,119,85,137,70,131,160,132,834,834
康,261,416,251,140,461,2170,804,4503,4503
庶,198,364,237,147,987,1165,2066,5164,5164
更,300,621,797,230,789,1827,1077,5641,5641
愛,244,318,258,167,522,569,460,2538,2538
避,72,135,180,110,354,850,578,2279,2279
逃,44,53,132,48,192,385,403,1257,1257
罪,612,920,723,300,1460,2817,3633,10465,10465
篤,26,64,234,105,107,212,179,927,927
謹,119,165,80,49,436,584,513,1946,1946
匪,10,21,29,22,113,101,35,331,331
懈,6,2,23,9,25,51,49,165,165
冀,28,46,510,154,447,410,165,1760,1760
耕,55,87,91,45,123,592,273,1266,1266
歷,90,193,340,142,1199,1271,2293,5528,5528
漁,61,36,109,17,56,106,79,464,464
陶,107,214,121,59,107,333,285,1226,1226
濱,17,5,29,19,39,131,327,567,567
什,36,69,34,2,56,139,62,398,398
壽,190,448,224,135,631,1869,1106,4603,4603
適,187,152,102,105,290,677,335,1848,1848
失,392,729,544,320,1268,2342,1702,7297,7297
兄,229,362,503,195,901,804,726,3720,3720
慈,24,33,57,85,303,542,427,1471,1471
求,451,499,556,321,1424,3474,1420,8145,8145
側,39,41,93,33,216,339,173,934,934
問,504,720,484,370,1056,2630,1655,7419,7419
內,636,1078,819,609,2861,6375,3880,16258,16258
男,140,251,150,88,575,258,270,1732,1732
外,518,766,638,390,2878,6194,3853,15237,15237
彌,38,127,108,78,184,550,165,1250,1250
敢,550,543,463,236,929,1830,1410,5961,5961
甚,419,782,487,306,1625,2718,1975,8312,8312
益,478,624,369,379,995,2530,2375,7750,7750
畔,95,121,122,6,6,43,26,419,419
苦,134,194,155,85,313,532,400,1813,1813
窳,3,7,2,1,0,6,4,23,23
賜,433,937,781,294,2162,4996,2789,12392,12392
絺,6,5,2,1,32,18,4,68,68
琴,41,28,30,14,86,203,40,442,442
筑,76,6,1,0,0,0,2,85,85
倉,79,147,114,84,468,855,855,2602,2602
廩,26,35,20,28,95,385,204,793,793
予,219,264,41,21,173,500,764,1982,1982
羊,119,197,179,32,230,403,280,1440,1440
尚,295,528,1076,667,4878,4486,5610,17540,17540
塗,19,61,77,42,133,364,165,861,861
縱,111,157,125,66,542,652,557,2210,2210
焚,17,24,57,28,240,580,569,1515,1515
兩,285,396,190,87,1293,4175,2520,8946,8946
笠,2,0,1,1,1,4,17,26,26
扞,7,19,32,5,31,35,8,137,137
穿,50,80,33,14,72,111,62,422,422
井,55,151,92,17,238,1080,533,2166,2166
深,202,371,387,260,1451,1556,1142,5369,5369
實,217,271,370,268,1800,2971,1891,7788,7788
喜,234,276,159,105,333,1021,777,2905,2905
本,177,497,438,328,2227,4181,2190,10038,10038
止,246,340,292,154,807,2630,1716,6185,6185
宮,465,898,848,348,2217,5012,2484,12272,12272
鼓,89,164,140,67,442,1335,528,2765,2765
鄂,28,18,6,3,170,365,11,601,601
我,1175,577,422,245,1113,1868,1415,6815,6815
鬱,11,39,33,18,55,159,104,419,419
爾,67,89,113,91,366,996,570,2292,2292
昔,140,195,386,363,477,536,221,2318,2318
才,39,8,330,353,1079,1650,1293,4752,4752
謂,727,898,775,579,2323,4831,2113,12246,12246
愷,4,7,49,7,29,39,91,226,226
元,2448,2427,1553,450,8965,10579,7158,33580,33580
濟,204,267,387,283,829,1372,1200,4542,4542
美,143,241,268,149,599,1055,389,2844,2844
隕,11,86,30,36,23,124,105,415,415
主,786,1039,728,981,2658,5440,3474,15106,15106
揆,9,23,17,22,115,117,54,357,357
友,75,123,163,93,368,771,910,2503,2503
掩,15,31,81,43,231,508,201,1110,1110
好,376,423,428,275,695,1270,704,4171,4171
慝,4,14,27,14,34,43,18,154,154
渾,44,42,12,34,400,232,120,884,884
沌,1,1,0,1,2,4,7,16,16
暤,3,0,0,0,2,3,0,8,8
惡,266,435,332,163,757,933,809,3695,3695
忠,204,370,629,346,2365,4015,3719,11648,11648
飾,58,80,121,54,320,506,255,1394,1394
奇,126,148,157,108,389,796,1325,3049,3049
訓,17,36,146,55,508,850,617,2229,2229
話,1,0,0,3,15,70,24,113,113
檮,1,3,2,0,1,10,1,18,18
杌,2,0,2,1,1,7,13,26,26
縉,3,6,5,1,107,50,312,484,484
貪,66,100,144,27,175,365,425,1302,1302
飲,225,223,129,89,246,699,378,1989,1989
食,661,1161,735,251,1338,3203,1642,8991,8991
冒,75,89,74,26,98,329,397,1088,1088
貨,31,94,95,30,260,533,173,1216,1216
賄,4,3,13,1,79,99,430,629,629
饕,1,2,3,0,4,8,7,25,25
餮,1,0,3,0,1,1,2,8,8
比,195,349,325,202,726,1295,828,3920,3920
裔,31,29,19,62,72,197,125,535,535
御,392,737,354,183,2855,5308,6143,15972,15972
螭,3,5,6,0,4,34,16,68,68
魅,1,3,11,2,15,11,5,48,48
毋,356,345,13,1,21,1012,655,2403,2403
麓,1,13,7,0,2,25,230,278,278
烈,81,81,137,107,493,338,554,1791,1791
禹,173,327,219,30,156,428,137,1470,1470
皋,119,74,9,8,127,108,75,520,520
契,34,16,31,20,344,1776,49,2270,2270
稷,143,162,124,93,370,621,335,1848,1848
伯,555,487,437,132,518,2794,1620,6543,6543
夔,12,7,55,57,86,469,258,944,944
龍,194,289,303,198,1395,2995,3171,8545,8545
倕,1,1,2,0,13,5,0,22,22
彭,241,235,260,53,236,481,465,1971,1971
職,90,324,286,142,1279,3370,1897,7388,7388
論,226,317,524,282,1398,4765,2520,10032,10032
厚,240,353,278,149,810,1459,849,4138,4138
佞,22,58,49,13,113,175,113,543,543
率,256,233,480,363,2128,2973,1853,8286,8286
奮,69,93,142,108,104,303,269,1088,1088
司,352,1199,1641,720,4910,11506,8531,28859,28859
維,122,32,20,209,195,592,778,1948,1948
勉,30,45,72,29,221,341,181,919,919
拜,272,383,939,482,2014,3226,1533,8849,8849
稽,145,137,158,123,244,479,379,1665,1665
首,435,444,464,247,1172,2541,1834,7137,7137
弃,5,7,1,0,0,0,0,13,13
黎,46,84,92,47,306,374,530,1479,1479
始,660,1164,739,270,1293,2958,1967,9051,9051
飢,5,127,62,19,19,144,203,579,579
品,11,43,43,12,2435,1018,2066,5628,5628
徒,245,328,743,215,1076,1071,680,4358,4358
敷,4,9,19,18,100,323,149,622,622
寬,81,248,156,75,360,706,615,2241,2241
猾,17,42,53,14,30,54,62,272,272
寇,64,139,606,218,828,1559,2116,5530,5530
軌,25,52,79,57,372,85,83,753,753
垂,70,104,185,116,502,614,242,1833,1833
臣,2272,2893,1785,1018,5690,10866,9085,33609,33609
諧,7,20,17,5,66,112,45,272,272
佐,103,119,97,79,541,1037,691,2667,2667
夙,17,50,45,37,81,90,44,364,364
直,201,423,296,165,1078,5426,2725,10314,10314
稺,1,0,3,0,0,1,0,5,5
溫,66,129,166,145,651,743,591,2491,2491
栗,58,74,21,3,47,115,18,336,336
剛,49,77,97,47,166,442,326,1204,1204
簡,193,66,133,91,635,1294,843,3255,3255
詩,126,398,291,81,580,1727,918,4121,4121
聲,239,289,247,153,592,1890,1148,4558,4558
音,124,158,131,35,364,568,180,1560,1560
奪,133,137,124,66,357,889,1293,2999,2999
倫,27,60,129,37,323,449,436,1461,1461
擊,1129,1096,862,387,905,1370,2100,7849,7849
拊,21,28,3,17,7,99,59,234,234
舞,87,123,122,35,493,652,369,1881,1881
畏,149,168,186,80,287,681,431,1982,1982
忌,145,104,127,52,446,403,296,1573,1573
讒,71,87,75,21,109,142,120,625,625
殄,9,22,30,20,73,58,33,245,245
僞,1,3,9,6,2,2,1,24,24
驚,91,133,165,69,225,413,327,1423,1423
納,40,111,237,142,919,1555,1700,4704,4704
考,71,231,293,113,639,1622,1518,4487,4487
絀,36,5,0,6,3,56,79,185,185
陟,11,17,31,16,185,275,95,630,630
近,157,354,323,230,958,2267,1165,5454,5454
厥,78,298,139,58,715,261,117,1666,1666
理,87,193,394,177,1718,2696,2045,7310,7310
各,281,585,637,315,1582,3970,2503,9873,9873
茂,90,169,274,91,425,415,526,1990,1990
違,12,81,211,112,367,609,334,1726,1726
唯,159,310,237,87,738,372,110,2013,2013
定,729,1158,675,520,2086,6524,4982,16674,16674
貢,112,123,174,87,549,2018,2672,5735,5735
宜,257,785,827,544,1987,3433,2817,10650,10650
千,1058,2374,1847,533,4537,6833,5387,22569,22569
里,476,741,604,263,1895,2455,2384,8818,8818
荒,41,78,94,53,185,312,316,1079,1079
發,621,979,691,334,1270,2868,2378,9141,9141
枝,36,27,36,9,108,130,150,496,496
渠,146,232,156,54,213,479,394,1674,1674
廋,1,1,1,0,0,4,0,7,7
氐,13,49,55,40,31,592,63,843,843
羌,32,184,670,89,177,492,108,1752,1752
息,166,231,237,147,497,919,446,2643,2643
戴,52,120,57,39,190,255,382,1095,1095
異,227,578,656,294,931,1948,1113,5747,5747
鳳,30,346,109,34,950,950,1318,3737,3737
皇,526,1560,1031,364,2978,5595,3655,15709,15709
翔,17,22,31,15,444,297,238,1064,1064
蒼,88,108,128,25,210,341,144,1044,1044
梧,22,23,32,19,75,56,148,375,375
疑,234,284,278,173,450,1052,777,3248,3248
零,5,47,154,44,54,68,515,887,887
旗,65,73,68,29,167,1072,461,1935,1935
商,269,341,211,42,451,1398,780,3492,3492
均,28,55,86,30,364,965,297,1825,1825
亦,785,976,801,467,2433,4871,5705,16038,16038
豫,75,108,180,243,242,677,269,1794,1794
疆,26,43,17,38,121,449,322,1016,1016
奉,323,717,745,395,1691,4886,2424,11181,11181
示,71,91,169,96,362,806,471,2066,2066
專,124,180,258,113,420,1154,858,3107,3107
結,100,152,257,109,625,759,674,2676,2676
語,239,486,248,210,499,1695,1157,4534,4534
唐,140,174,174,76,817,2580,1057,5018,5018
別,131,181,241,249,1001,1516,851,4170,4170
姒,19,17,4,1,9,12,12,74,74
周,1231,1100,614,370,1798,3105,2306,10524,10524
姬,231,177,71,37,38,104,43,701,701
太,2511,3533,3571,2477,9504,16835,9597,48028,48028
史,728,1313,1068,513,9186,7068,6500,26376,26376
學,228,465,645,236,2107,8647,4944,17272,17272
稱,386,735,808,413,1908,2388,2083,8721,8721
獨,365,532,382,146,677,1427,1195,4724,4724
家,769,1441,1085,592,2377,4207,3793,14264,14264
雅,38,103,95,84,433,542,338,1633,1633
紳,10,10,13,3,177,173,145,531,531
孔,512,383,232,100,384,640,615,2866,2866
傳,334,898,619,199,1124,2001,1700,6875,6875
儒,128,215,269,68,532,620,942,2774,2774
或,335,550,562,338,1335,3331,1581,8032,8032
余,131,61,195,26,989,399,877,2678,2678
漸,38,76,86,55,471,485,582,1793,1793
浮,63,82,167,68,195,468,364,1407,1407
固,348,301,553,268,1182,1441,1014,5107,5107
殊,61,102,132,88,306,421,194,1304,1304
總,14,36,41,40,1186,1756,3936,7009,7009
離,206,297,241,153,416,576,277,2166,2166
古,245,521,340,296,1602,2483,1583,7070,7070
顧,125,155,215,152,516,884,996,3043,3043
表,56,145,318,536,1376,1841,876,5148,5148
缺,33,46,52,8,85,83,326,633,633
軼,19,10,40,1,24,49,36,179,179
他,155,49,26,85,310,1251,1044,2920,2920
非,812,1118,818,634,2183,4188,2132,11885,11885
淺,29,47,30,25,97,243,244,715,715
寡,249,188,92,75,207,403,236,1450,1450
并,308,215,45,47,204,114,1,934,934
次,238,352,266,164,928,3537,1614,7099,7099
著,112,313,347,215,636,1742,740,4105,4105
書,655,1567,1914,961,8742,13391,8207,35437,35437
當,685,1222,1101,884,2284,5601,3217,14994,14994
等,438,990,1512,1156,5117,7100,8497,24810,24810
賢,526,922,592,220,1067,2059,2461,7847,7847
願,364,475,319,121,574,2032,558,4443,4443
視,188,399,251,108,508,2076,1524,5054,5054
狀,77,164,193,53,608,1012,707,2814,2814
誅,624,899,638,249,996,844,919,5169,5169
續,49,27,118,12,132,342,186,866,866
業,178,339,384,323,1236,1101,672,4233,4233
給,107,253,150,97,1197,3764,3578,9146,9146
克,142,93,179,219,682,1100,1275,3690,3690
亹,18,8,6,2,7,22,4,67,67
綱,16,49,79,57,308,1076,430,2015,2015
傅,148,492,261,131,433,1260,899,3624,3624
傷,165,334,337,94,425,688,635,2678,2678
焦,27,15,29,10,42,77,143,343,343
薄,126,219,198,61,338,548,416,1906,1906
卑,123,143,302,110,193,215,144,1230,1230
室,315,521,398,198,859,1698,630,4619,4619
費,79,149,123,106,293,1104,681,2535,2535
溝,32,40,31,18,64,255,379,819,819
淢,2,1,0,0,0,4,0,7,7
陸,93,100,62,151,469,469,685,2029,2029
船,92,115,56,155,128,410,324,1280,1280
泥,13,22,27,17,89,148,205,521,521
橇,2,0,0,0,0,0,0,2,2
檋,2,0,0,0,0,0,0,2,2
準,7,25,96,26,177,745,181,1257,1257
繩,22,42,33,10,111,187,134,539,539
規,15,29,118,82,327,597,253,1421,1421
矩,10,12,38,11,106,184,45,406,406
陂,16,32,42,34,29,150,74,377,377
稻,9,19,16,18,28,108,28,226,226
溼,17,13,0,1,0,0,0,31,31
調,28,88,100,44,314,1457,1241,3272,3272
餘,1251,1476,1453,645,2321,6189,4264,17599,17599
壺,21,23,25,15,45,108,58,295,295
口,162,392,373,210,1285,1719,2287,6428,6428
梁,672,633,566,87,938,995,757,4648,4648
岐,31,21,69,16,217,111,99,564,564
原,331,340,366,248,1355,2011,1291,5942,5942
覃,1,2,8,2,160,107,89,369,369
漳,23,11,8,11,89,218,293,653,653
壤,34,24,10,9,67,92,100,336,336
賦,89,312,163,70,518,1394,630,3176,3176
錯,152,217,84,45,78,113,57,746,746
田,773,793,452,179,1132,3569,2333,9231,9231
皮,61,61,48,28,96,210,195,699,699
夾,36,28,22,25,120,415,237,883,883
碣,16,13,3,0,10,15,12,69,69
沇,3,4,0,0,13,12,1,33,33
雍,212,239,133,142,433,1078,258,2495,2495
沮,31,40,62,62,117,305,175,792,792
會,604,667,851,603,1516,3805,2937,10983,10983
桑,65,112,66,56,145,284,212,940,940
蠶,19,29,52,12,70,194,100,476,476
黑,60,92,71,18,230,656,526,1653,1653
墳,14,34,59,17,116,126,69,435,435
繇,37,205,20,127,24,139,6,558,558
條,64,132,105,42,313,1031,623,2310,2310
貞,46,61,83,55,2606,177,948,3976,3976
漆,29,21,32,6,32,120,90,330,330
絲,22,24,24,6,74,240,146,536,536
篚,6,0,1,0,8,23,16,54,54
織,19,47,34,10,83,159,407,759,759
漯,5,5,1,1,1,9,6,28,28
堣,1,0,0,0,0,3,7,11,11
略,157,296,298,223,834,1614,969,4391,4391
濰,2,3,0,0,11,77,36,129,129
淄,12,25,21,0,181,134,25,398,398
廣,496,902,614,287,1076,3492,4336,11203,11203
潟,1,1,1,0,0,0,0,3,3
斥,28,63,63,18,149,541,677,1539,1539
鹵,18,40,15,4,40,265,67,449,449
鹽,62,101,50,21,680,2134,1097,4145,4145
畎,4,8,7,0,3,30,1,53,53
枲,1,3,1,1,3,6,4,19,19
鉛,3,4,5,1,26,67,53,159,159
松,11,23,97,48,170,279,869,1497,1497
怪,91,113,82,38,75,173,68,640,640
萊,52,51,48,17,102,166,261,697,697
酓,1,0,0,0,0,0,0,1,1
汶,22,8,18,12,37,37,129,263,263
徐,120,138,221,248,833,1128,1842,4530,4530
沂,6,9,7,2,103,280,159,566,566
蒙,161,233,239,226,287,604,595,2345,2345
藝,29,49,23,24,291,478,99,993,993
厎,5,14,2,1,0,0,0,22,22
赤,119,186,295,82,334,1881,784,3681,3681
埴,1,1,1,0,0,8,8,19,19
包,26,25,36,12,58,192,82,431,431
嶧,4,3,2,0,9,21,28,67,67
