Co-term, , , , , , , ,Target,Co-term
Dynasty,shi,han,houhan,sanguo,jiutang,song,ming,Total,Total
買,83,137,35,15,60,654,177,1161,1161
媭,5,0,0,0,0,0,0,5,5
俞,10,23,6,3,14,206,226,488,488
歡,15,19,78,56,173,236,171,748,748
惛,4,3,4,0,1,0,0,12,12
弘,136,275,252,115,1257,99,1849,3983,3983
牟,47,43,47,16,137,130,82,502,502
誣,13,57,90,24,257,424,491,1356,1356
餓,29,32,24,10,28,45,25,193,193
脅,21,49,71,34,111,178,183,647,647
讬,19,0,0,0,1,0,0,20,20
慰,5,16,66,49,397,378,890,1801,1801
第,165,300,200,66,1581,4337,1649,8298,8298
掖,9,108,143,19,127,209,129,744,744
恃,22,19,60,66,254,327,245,993,993
枕,11,25,10,10,44,69,53,222,222
裴,3,5,16,21,924,118,45,1132,1132
掊,4,1,0,1,3,74,21,104,104
隐,16,0,0,0,0,0,0,16,16
赞,16,0,0,0,0,0,0,16,16
猜,3,8,23,11,79,30,36,190,190
鴆,6,16,17,4,29,10,19,101,101
殞,5,1,5,4,31,17,24,87,87
菹,3,2,2,0,8,10,8,33,33
孽,20,63,40,4,81,38,78,324,324
芟,1,1,3,8,10,26,12,61,61
牙,39,78,75,50,319,386,271,1218,1218
搖,42,67,38,13,107,269,98,634,634
兆,50,174,116,37,859,290,219,1745,1745
跪,23,19,39,15,26,239,366,727,727
阼,2,3,3,83,5,30,78,204,204
愨,1,3,17,1,12,88,16,138,138
歆,2,185,91,61,70,135,62,606,606
嗛,5,5,0,0,1,8,17,36,36
選,32,184,227,123,734,2034,1443,4777,4777
竇,98,84,325,13,403,149,62,1134,1134
鰥,3,47,35,10,13,10,10,128,128
匄,1,5,2,3,0,6,0,17,17
憪,1,0,0,0,0,0,0,1,1
粢,3,7,1,1,20,46,8,86,86
劇,29,48,47,17,54,174,94,463,463
詛,10,60,14,1,6,16,22,129,129
轢,5,4,2,4,8,12,9,44,44
祁,22,45,14,42,50,221,122,516,516
詿,4,15,3,3,16,13,21,75,75
擬,15,9,24,18,176,299,485,1026,1026
閩,34,57,2,1,26,225,250,595,595
邛,37,44,19,4,82,129,53,368,368
彰,17,2,18,60,243,241,193,774,774
緹,5,2,17,0,4,8,31,67,67
縈,5,1,5,0,7,16,3,37,37
婢,24,103,57,27,87,76,84,458,458
歟,7,1,10,11,59,129,76,293,293
悌,4,9,36,22,87,63,27,248,248
肌,2,12,11,2,9,11,3,50,50
膚,5,24,10,2,20,82,36,179,179
租,24,93,104,18,161,718,285,1403,1403
那,5,5,14,5,168,48,174,419,419
綿,8,16,17,44,99,296,139,619,619
墠,1,1,2,1,7,2,4,18,18
場,6,13,17,19,128,1103,540,1826,1826
祈,8,25,39,2,135,347,179,735,735
杯,8,9,6,2,29,286,21,361,361
畿,1,9,9,52,277,517,729,1594,1594
怛,2,12,8,6,20,20,6,74,74
注,44,38,152,30,604,1055,390,2313,2313
庾,6,5,2,5,102,119,25,264,264
綈,5,11,4,4,5,6,0,35,35
曳,4,14,13,3,50,42,39,165,165
樸,11,17,32,18,51,182,183,494,494
盎,128,118,5,2,26,11,4,294,294
供,10,36,67,58,530,1312,542,2555,2555
紅,10,57,14,1,37,268,743,1130,1130
酎,103,124,8,1,4,0,1,241,241
嗜,18,2,24,8,61,138,105,356,356
識,63,74,158,101,422,574,318,1710,1710
謙,14,47,154,107,190,357,785,1654,1654
嗚,13,11,14,10,63,51,13,175,175
雹,4,24,44,2,23,254,169,520,520
祋,3,4,6,1,0,0,0,14,14
祤,3,4,2,1,3,4,0,17,17
晁,26,35,0,1,23,117,6,208,208
徹,5,23,21,13,148,280,177,667,667
鄃,4,5,2,2,5,0,0,18,18
錮,3,18,79,2,30,74,117,323,323
潦,5,5,10,2,30,80,50,182,182
郅,23,104,15,1,11,9,3,166,166
緵,1,0,0,0,0,0,0,1,1
舂,7,20,51,3,22,23,11,137,137
紫,12,47,75,13,637,1033,273,2090,2090
蚡,46,97,3,0,1,0,0,147,147
乍,15,17,2,2,16,46,34,132,132
局,5,2,14,13,129,607,387,1157,1157
輪,9,34,31,11,88,337,155,665,665
惜,20,26,62,54,242,355,240,999,999
蹄,7,6,2,5,3,10,25,58,58
