Target,target_abs_freq, target_rel_freq*100, ref_abs_freq, ref_rel_freq*100, CHI2
玉,14,0.04,5240,0.06,4362.57
牛,26,0.07,2859,0.03,12949.0
養,19,0.05,3093,0.04,5752.9
鹽,8,0.02,4138,0.05,6121.64
潞,8,0.02,714,0.01,9114.29
松,6,0.02,1492,0.02,133.64
昭,21,0.06,5647,0.06,813.28
帛,19,0.05,2067,0.02,11218.89
背,8,0.02,1310,0.01,3682.19
辭,12,0.03,5209,0.06,5604.94
克,12,0.03,3679,0.04,1964.96
俗,16,0.05,2134,0.02,7722.49
賓,15,0.04,2830,0.03,3391.77
侍,102,0.29,17272,0.2,12135.48
宿,7,0.02,3519,0.04,5488.26
沒,15,0.04,3485,0.04,991.57
婢,14,0.04,445,0.01,27011.71
贖,7,0.02,821,0.01,6174.3
桑,9,0.03,932,0.01,8198.33
間,21,0.06,6974,0.08,3694.21
色,12,0.03,3832,0.04,2386.09
焉,17,0.05,6809,0.08,5656.08
遊,9,0.03,2562,0.03,1039.6
羽,6,0.02,2670,0.03,4150.24
靈,12,0.03,4146,0.05,3203.2
輦,5,0.01,760,0.01,3417.05
仙,11,0.03,1304,0.01,7627.9
珍,7,0.02,1178,0.01,3225.76
寶,29,0.08,7052,0.08,650.68
廉,5,0.01,2156,0.02,3571.51
廢,8,0.02,5834,0.07,9299.78
置,29,0.08,16973,0.19,13792.32
救,6,0.02,3069,0.03,5214.71
祀,5,0.01,5179,0.06,10143.85
墳,5,0.01,431,0.0,7466.59
陛,9,0.03,7562,0.09,11334.14
損,8,0.02,1977,0.02,206.46
貢,15,0.04,5721,0.07,4736.64
苑,6,0.02,1200,0.01,1718.16
匹,19,0.05,1779,0.02,13351.46
貧,19,0.05,1651,0.02,14438.15
御,42,0.12,15931,0.18,7822.53
髮,15,0.04,304,0.0,36520.82
巾,7,0.02,539,0.01,9855.48
錢,19,0.05,8447,0.1,7375.1
彭,18,0.05,1954,0.02,10948.94
刺,40,0.12,6959,0.08,7079.32
白,24,0.07,9546,0.11,6617.54
畫,6,0.02,1596,0.02,355.71
調,10,0.03,3263,0.04,2382.1
勇,10,0.03,2466,0.03,250.77
存,20,0.06,2946,0.03,7264.58
追,16,0.05,5018,0.06,2539.99
願,7,0.02,4437,0.05,7459.36
習,7,0.02,2531,0.03,2808.22
游,5,0.01,1076,0.01,1080.92
監,26,0.07,10552,0.12,7201.44
強,7,0.02,3002,0.03,4181.77
容,6,0.02,3703,0.04,6691.43
改,21,0.06,13803,0.16,13476.27
納,20,0.06,4685,0.05,1036.05
富,6,0.02,2761,0.03,4404.34
開,72,0.21,9318,0.11,17184.59
新,21,0.06,6661,0.08,3064.85
壽,10,0.03,4594,0.05,5670.21
抱,9,0.03,676,0.01,11434.19
遇,15,0.04,4178,0.05,1091.68
害,11,0.03,4192,0.05,4047.72
輿,6,0.02,1990,0.02,1964.61
備,11,0.03,6449,0.07,8507.62
歷,8,0.02,5521,0.06,8773.44
弱,9,0.03,1745,0.02,2382.21
矢,6,0.02,1289,0.01,1196.51
斷,7,0.02,2453,0.03,2558.86
敗,7,0.02,7090,0.08,11782.82
獲,30,0.09,4047,0.05,10382.36
單,8,0.02,2639,0.03,2222.75
鉤,5,0.01,454,0.01,7076.78
拜,43,0.12,8807,0.1,4136.66
弘,17,0.05,3967,0.05,1002.08
秋,9,0.03,6472,0.07,9721.86
忽,8,0.02,1108,0.01,5130.02
語,11,0.03,4524,0.05,4817.06
咸,11,0.03,3106,0.04,1069.32
楊,20,0.06,5891,0.07,2003.84
豪,7,0.02,1572,0.02,944.04
物,23,0.07,6074,0.07,593.93
承,41,0.12,7473,0.09,6271.1
翁,6,0.02,720,0.01,5538.98
租,5,0.01,1399,0.02,660.31
稅,6,0.02,2589,0.03,3917.73
役,15,0.04,3435,0.04,1157.61
失,19,0.05,7279,0.08,5390.34
落,16,0.05,1914,0.02,9085.28
婕,7,0.02,135,0.0,25651.84
妤,7,0.02,134,0.0,25758.36
疑,5,0.01,3244,0.04,6475.64
蘇,9,0.03,2661,0.03,1377.74
學,30,0.09,17243,0.2,13707.66
移,7,0.02,4510,0.05,7601.62
近,22,0.06,5433,0.06,352.04
育,9,0.03,705,0.01,10997.05
隨,10,0.03,3585,0.04,3275.36
案,5,0.01,1697,0.02,1947.84
刀,12,0.03,1178,0.01,10070.42
蕭,11,0.03,1713,0.02,4823.66
杜,9,0.03,2226,0.03,211.49
勳,7,0.02,1654,0.02,544.94
頓,5,0.01,1087,0.01,1013.34
首,43,0.12,7095,0.08,8388.65
恩,23,0.07,5902,0.07,185.35
掖,9,0.03,736,0.01,10553.88
密,13,0.04,8218,0.09,10135.68
嘗,15,0.04,7070,0.08,7254.25
放,9,0.03,1868,0.02,1772.99
給,23,0.07,9124,0.1,6439.29
錄,10,0.03,4830,0.05,6163.53
差,12,0.03,5447,0.06,6082.78
指,15,0.04,6205,0.07,5694.39
寇,6,0.02,5525,0.06,10053.4
虜,30,0.09,1981,0.02,23379.62
旋,5,0.01,1270,0.01,18.66
應,10,0.03,9014,0.1,12738.54
猶,16,0.05,4143,0.05,261.73
粟,16,0.05,1540,0.02,11887.69
庭,17,0.05,2496,0.03,6738.38
醴,6,0.02,470,0.01,8978.93
唐,10,0.03,5009,0.06,6524.33
鳳,12,0.03,3726,0.04,2096.06
龍,24,0.07,8522,0.1,4934.27
麟,5,0.01,1246,0.01,107.79
謙,7,0.02,1648,0.02,573.45
決,6,0.02,4318,0.05,7943.3
臺,5,0.01,2871,0.03,5584.45
輟,5,0.01,468,0.01,6851.14
木,14,0.04,3509,0.04,116.36
勸,5,0.01,1934,0.02,2829.45
莫,16,0.05,4663,0.05,1665.78
窮,5,0.01,1801,0.02,2347.67
散,32,0.09,3548,0.04,14216.24
仁,13,0.04,7182,0.08,8560.06
虞,9,0.03,2685,0.03,1457.9
收,24,0.07,4208,0.05,5368.06
務,7,0.02,4702,0.05,7967.39
禦,9,0.03,4702,0.05,6588.03
佛,6,0.02,789,0.01,4836.48
烈,7,0.02,1785,0.02,52.9
機,6,0.02,2352,0.03,3198.92
簡,15,0.04,3241,0.04,1826.17
休,8,0.02,2420,0.03,1491.29
孤,24,0.07,1782,0.02,18870.44
帥,7,0.02,4584,0.05,7744.0
對,10,0.03,5379,0.06,7237.37
貞,31,0.09,3946,0.04,11560.64
輩,6,0.02,1368,0.02,763.86
頭,28,0.08,2791,0.03,15119.48
贊,8,0.02,2753,0.03,2581.33
寧,20,0.06,10128,0.12,9383.21
胡,11,0.03,3496,0.04,2237.35
智,8,0.02,1807,0.02,960.65
牙,8,0.02,1211,0.01,4357.96
迎,8,0.02,3177,0.04,3805.72
戊,6,0.02,5279,0.06,9652.91
塞,19,0.05,3217,0.04,5234.78
骨,9,0.03,1268,0.01,5282.97
脫,7,0.02,978,0.01,4727.36
憂,5,0.01,3586,0.04,7224.93
素,13,0.04,3600,0.04,954.2
烏,7,0.02,2144,0.02,1492.97
京,46,0.13,17123,0.19,7800.64
護,7,0.02,2903,0.03,3909.75
祿,44,0.13,5271,0.06,15039.28
橫,7,0.02,2232,0.03,1810.45
午,6,0.02,5236,0.06,9581.53
感,6,0.02,1939,0.02,1774.37
積,7,0.02,4015,0.05,6598.71
增,5,0.01,4362,0.05,8743.84
舍,28,0.08,5404,0.06,4275.35
館,13,0.04,2580,0.03,2612.3
永,31,0.09,9280,0.11,2763.42
溫,11,0.03,2481,0.03,1140.87
魏,21,0.06,5571,0.06,629.07
陶,6,0.02,1221,0.01,1591.51
恭,10,0.03,3687,0.04,3543.0
儀,20,0.06,7350,0.08,4967.56
崇,22,0.06,10456,0.12,8908.7
商,5,0.01,3488,0.04,7016.04
叔,13,0.04,2368,0.03,3536.98
唯,6,0.02,2008,0.02,2030.67
賞,12,0.03,3903,0.04,2576.16
蜀,6,0.02,3233,0.04,5618.87
訟,5,0.01,990,0.01,1635.47
況,5,0.01,1702,0.02,1967.57
關,11,0.03,6797,0.08,9074.87
宇,5,0.01,1188,0.01,423.77
隆,8,0.02,3501,0.04,4646.73
授,33,0.1,9549,0.11,2270.95
領,20,0.06,7494,0.09,5229.91
舊,8,0.02,8159,0.09,12669.74
戴,5,0.01,1091,0.01,988.94
涉,5,0.01,1209,0.01,307.61
癸,8,0.02,5147,0.06,8113.57
酉,9,0.03,4507,0.05,6187.04
字,9,0.03,8197,0.09,12195.92
動,7,0.02,3342,0.04,5060.49
苗,6,0.02,1242,0.01,1467.13
作,26,0.07,8442,0.1,3766.82
尹,14,0.04,2968,0.03,1975.57
緣,6,0.02,1588,0.02,319.2
集,15,0.04,8073,0.09,8872.16
貨,5,0.01,1212,0.01,291.18
突,15,0.04,1423,0.02,11695.0
鐵,9,0.03,2079,0.02,819.22
葬,6,0.02,2807,0.03,4530.07
殤,8,0.02,138,0.0,29163.54
幾,6,0.02,4140,0.05,7595.94
造,7,0.02,2967,0.03,4086.51
伏,12,0.03,4744,0.05,4613.78
戎,9,0.03,2412,0.03,502.33
升,12,0.03,4942,0.06,5045.8
鰥,17,0.05,112,0.0,68907.63
斛,13,0.04,598,0.01,20344.76
辰,5,0.01,6443,0.07,12034.66
悌,12,0.03,237,0.0,33142.59
占,16,0.05,1504,0.02,12199.94
癃,11,0.03,37,0.0,74049.69
丑,8,0.02,4296,0.05,6457.82
丙,9,0.03,5615,0.06,8302.57
寅,8,0.02,4991,0.06,7827.26
半,5,0.01,3731,0.04,7526.19
考,5,0.01,4483,0.05,8962.36
乳,5,0.01,346,0.0,9168.34
豐,12,0.03,3516,0.04,1497.6
邴,6,0.02,93,0.0,26758.84
吉,17,0.05,4284,0.05,62.21
息,10,0.03,2634,0.03,367.12
濟,16,0.05,4527,0.05,1313.88
試,5,0.01,4091,0.05,8237.94
岑,6,0.02,512,0.01,8262.87
選,9,0.03,4769,0.05,6722.63
征,9,0.03,5560,0.06,8205.86
籍,7,0.02,3933,0.04,6423.15
蒙,6,0.02,2340,0.03,3160.85
擢,10,0.03,4024,0.05,4382.24
破,26,0.07,7049,0.08,1028.9
孕,6,0.02,53,0.0,35634.14
邪,8,0.02,3089,0.04,3564.24
娶,16,0.05,412,0.0,32840.03
攝,7,0.02,1367,0.02,2044.15
溺,6,0.02,689,0.01,5880.6
屍,5,0.01,785,0.01,3196.56
韋,13,0.04,1693,0.02,7228.37
奪,9,0.03,2991,0.03,2424.32
焚,10,0.03,1506,0.02,4922.02
勒,11,0.03,1165,0.01,8822.51
執,5,0.01,6445,0.07,12037.44
戰,18,0.05,8728,0.1,8322.86
界,5,0.01,2347,0.03,4158.51
特,17,0.05,4010,0.05,870.24
患,5,0.01,2916,0.03,5696.69
末,6,0.02,3140,0.04,5391.81
偽,10,0.03,1711,0.02,3697.38
真,20,0.06,4520,0.05,1511.8
麗,7,0.02,1285,0.01,2533.76
珠,12,0.03,1063,0.01,11249.9
支,19,0.05,2923,0.03,6501.7
削,5,0.01,1521,0.02,1216.23
衍,6,0.02,1036,0.01,2796.57
逾,9,0.03,1766,0.02,2275.05
英,10,0.03,3806,0.04,3846.91
圖,8,0.02,4931,0.06,7715.26
運,11,0.03,6362,0.07,8362.0
實,21,0.06,7768,0.09,5180.66
乞,12,0.03,5190,0.06,5565.98
紹,7,0.02,4217,0.05,7019.21
基,6,0.02,1249,0.01,1426.15
奔,9,0.03,2464,0.03,692.18
懼,6,0.02,2999,0.03,5036.73
助,7,0.02,1981,0.02,870.66
候,5,0.01,2639,0.03,4982.12
驅,17,0.05,1044,0.01,18688.69
融,5,0.01,1088,0.01,1007.23
便,8,0.02,4175,0.05,6201.3
直,15,0.04,10300,0.12,11951.59
遷,27,0.08,13132,0.15,10245.55
畝,5,0.01,692,0.01,4060.53
枕,5,0.01,218,0.0,13101.99
叛,6,0.02,2660,0.03,4121.87
邦,6,0.02,2129,0.02,2461.05
掠,31,0.09,2150,0.02,22787.02
稍,8,0.02,2433,0.03,1536.42
表,12,0.03,5137,0.06,5456.66
全,6,0.02,4311,0.05,7929.85
允,8,0.02,2727,0.03,2500.77
慮,5,0.01,2178,0.02,3641.35
巡,6,0.02,6822,0.08,11979.25
諫,5,0.01,5403,0.06,10500.27
畢,8,0.02,3046,0.03,3444.01
察,25,0.07,7009,0.08,1506.65
威,10,0.03,5010,0.06,6526.31
訓,7,0.02,2223,0.03,1778.52
檢,48,0.14,6066,0.07,14543.63
環,10,0.03,1434,0.02,5396.83
載,14,0.04,3745,0.04,605.83
總,13,0.04,6997,0.08,8259.68
輒,5,0.01,2741,0.03,5252.04
曲,9,0.03,3308,0.04,3332.94
面,11,0.03,2659,0.03,459.25
卑,10,0.03,1221,0.01,6978.04
畏,7,0.02,1976,0.02,850.8
遁,7,0.02,1616,0.02,727.32
駝,7,0.02,259,0.0,17323.55
尺,8,0.02,2924,0.03,3094.38
弓,7,0.02,1443,0.02,1617.38
準,7,0.02,1251,0.01,2746.67
﻿,5,0.01,526,0.01,5996.45
買,6,0.02,1156,0.01,1991.28
壬,5,0.01,5271,0.06,10291.5
摩,5,0.01,300,0.0,10326.97
優,7,0.02,1769,0.02,17.72
縱,8,0.02,2203,0.03,701.42
毀,5,0.01,1666,0.02,1824.28
倫,5,0.01,1457,0.02,930.17
敘,5,0.01,1042,0.01,1294.42
緒,6,0.02,592,0.01,7079.85
廟,6,0.02,7425,0.08,12789.26
曠,5,0.01,517,0.01,6121.44
惟,7,0.02,6068,0.07,10286.91
淑,6,0.02,493,0.01,8577.43
綱,5,0.01,2011,0.02,3094.97
駕,7,0.02,3064,0.03,4348.18
策,5,0.01,4260,0.05,8556.19
冤,5,0.01,903,0.01,2250.84
饑,6,0.02,1829,0.02,1347.51
累,22,0.06,5134,0.06,1139.4
毛,6,0.02,1156,0.01,1991.28
彌,10,0.03,1241,0.01,6816.51
充,29,0.08,5319,0.06,5172.28
壁,6,0.02,1354,0.02,838.63
均,5,0.01,1821,0.02,2422.13
宋,16,0.05,4468,0.05,1158.03
徽,6,0.02,2425,0.03,3426.87
茂,7,0.02,1984,0.02,882.55
潘,6,0.02,853,0.01,4245.31
清,20,0.06,7905,0.09,5954.56
儼,5,0.01,413,0.0,7789.95
體,11,0.03,2844,0.03,202.1
屯,8,0.02,4159,0.05,6166.93
推,6,0.02,4397,0.05,8093.98
舟,6,0.02,2191,0.02,2672.95
果,8,0.02,2836,0.03,2833.88
黑,10,0.03,1644,0.02,4078.97
純,5,0.01,1477,0.02,1020.84
花,9,0.03,1306,0.01,5010.52
草,5,0.01,2463,0.03,4495.44
倭,9,0.03,807,0.01,9620.48
報,6,0.02,4622,0.05,8512.25
汝,12,0.03,6718,0.08,8371.1
難,9,0.03,4978,0.06,7132.79
班,7,0.02,3660,0.04,5816.37
台,8,0.02,2416,0.03,1477.35
錦,10,0.03,1924,0.02,2583.93
圍,16,0.05,3359,0.04,2228.35
暉,6,0.02,573,0.01,7342.42
亮,7,0.02,1890,0.02,501.35
敏,6,0.02,1672,0.02,693.82
敵,5,0.01,3531,0.04,7108.24
廬,8,0.02,1913,0.02,482.4
權,18,0.05,7253,0.08,5897.96
崖,5,0.01,661,0.01,4378.12
俘,16,0.05,715,0.01,23037.5
避,5,0.01,2275,0.03,3942.22
裴,10,0.03,1123,0.01,7816.88
隋,10,0.03,2266,0.03,1043.99
質,5,0.01,1971,0.02,2958.18
余,17,0.05,2662,0.03,5927.74
勣,9,0.03,360,0.0,18648.57
崔,8,0.02,1915,0.02,473.64
薛,10,0.03,1509,0.02,4902.79
陀,6,0.02,305,0.0,12854.26
妃,11,0.03,2338,0.03,1725.75
兼,54,0.16,10636,0.12,5492.85
柳,10,0.03,1189,0.01,7243.0
奭,5,0.01,228,0.0,12695.5
貶,10,0.03,2217,0.03,1249.2
吳,14,0.04,6557,0.07,6934.29
藏,11,0.03,2250,0.03,2104.42
繼,16,0.05,5284,0.06,3157.52
驍,6,0.02,912,0.01,3743.23
巳,8,0.02,4510,0.05,6897.39
壤,5,0.01,332,0.0,9499.15
擒,19,0.05,1556,0.02,15313.89
量,7,0.02,1508,0.02,1270.64
極,8,0.02,4045,0.05,5918.77
祥,9,0.03,2739,0.03,1635.77
回,12,0.03,2745,0.03,1046.59
殘,5,0.01,820,0.01,2900.62
紫,31,0.09,2060,0.02,23639.47
源,12,0.03,2173,0.02,3459.45
乾,13,0.04,3714,0.04,1288.05
兆,8,0.02,1738,0.02,1287.63
乙,8,0.02,5856,0.07,9335.96
党,5,0.01,203,0.0,13760.28
樓,8,0.02,1651,0.02,1719.59
毗,6,0.02,192,0.0,17608.5
汗,12,0.03,791,0.01,14807.66
甯,7,0.02,1558,0.02,1014.3
邠,12,0.03,624,0.01,17874.2
俄,6,0.02,1675,0.02,706.86
僧,17,0.05,1458,0.02,13838.98
紇,5,0.01,508,0.01,6249.05
僕,13,0.04,3372,0.04,254.35
團,8,0.02,1506,0.02,2495.52
吐,11,0.03,1457,0.02,6474.26
蕃,16,0.05,3396,0.04,2098.01
旨,6,0.02,4076,0.05,7468.25
赴,12,0.03,3441,0.04,1275.54
希,6,0.02,6185,0.07,11068.67
贈,12,0.03,4953,0.06,5069.35
駙,5,0.01,457,0.01,7027.72
約,8,0.02,3076,0.04,3528.05
撫,18,0.05,8839,0.1,8490.81
襲,26,0.07,5050,0.06,4022.9
宥,8,0.02,737,0.01,8815.25
澧,5,0.01,292,0.0,10551.75
宰,7,0.02,4368,0.05,7323.21
付,7,0.02,1314,0.01,2356.89
柱,43,0.12,1153,0.01,52552.3
管,7,0.02,4216,0.05,7017.17
侄,6,0.02,371,0.0,11040.69
段,9,0.03,1405,0.02,4340.61
誥,5,0.01,1364,0.02,492.15
翰,6,0.02,3088,0.04,5262.43
汴,8,0.02,1314,0.01,3656.09
袋,21,0.06,222,0.0,61018.69
典,6,0.02,4659,0.05,8579.56
鎮,11,0.03,9081,0.1,12326.09
達,5,0.01,3440,0.04,6912.09
慈,8,0.02,1464,0.02,2735.17
判,14,0.04,5407,0.06,4718.3
扶,5,0.01,1170,0.01,525.0
押,5,0.01,714,0.01,3844.81
秘,7,0.02,2111,0.02,1370.73
隴,5,0.01,1469,0.02,984.71
練,8,0.02,2235,0.03,822.5
援,6,0.02,2835,0.03,4605.74
寨,8,0.02,996,0.01,6068.22
副,8,0.02,8432,0.1,13018.16
邢,5,0.01,569,0.01,5432.55
假,5,0.01,2018,0.02,3118.65
彥,8,0.02,3210,0.04,3894.74
祚,8,0.02,1146,0.01,4836.09
耶,6,0.02,1124,0.01,2196.93
才,7,0.02,4746,0.05,8049.58
靜,6,0.02,1597,0.02,360.26
曆,6,0.02,5301,0.06,9689.27
品,19,0.05,5610,0.06,1984.44
俊,5,0.01,2569,0.03,4791.88
卷,9,0.03,20247,0.23,23585.96
撰,5,0.01,3260,0.04,6512.02
旗,6,0.02,1930,0.02,1740.31
陷,5,0.01,3555,0.04,7159.33
爭,5,0.01,3379,0.04,6778.36
嬪,5,0.01,199,0.0,13946.79
靖,10,0.03,4924,0.06,6354.37
員,14,0.04,5528,0.06,4969.95
姑,7,0.02,1212,0.01,2998.72
超,6,0.02,1440,0.02,391.23
爾,5,0.01,2288,0.03,3981.7
垂,8,0.02,1826,0.02,872.85
拱,6,0.02,1514,0.02,27.36
閣,10,0.03,6072,0.07,8471.69
鸞,5,0.01,690,0.01,4080.52
討,6,0.02,5171,0.06,9472.82
葉,6,0.02,1503,0.02,80.3
帳,6,0.02,960,0.01,3360.83
芝,6,0.02,951,0.01,3430.89
嶺,5,0.01,1767,0.02,2219.33
溪,5,0.01,2053,0.02,3236.02
僅,6,0.02,797,0.01,4759.64
悅,8,0.02,1915,0.02,473.64
系,7,0.02,1262,0.01,2677.11
釗,5,0.01,138,0.0,17609.82
嫡,6,0.02,1248,0.01,1431.99
秀,8,0.02,1398,0.02,3127.12
補,5,0.01,3498,0.04,7037.56
按,5,0.01,3799,0.04,7664.44
設,8,0.02,4959,0.06,7767.66
階,5,0.01,1837,0.02,2481.16
提,6,0.02,4159,0.05,7633.55
衫,5,0.01,254,0.0,11739.95
頡,9,0.03,301,0.0,20971.23
番,6,0.02,1788,0.02,1182.16
椎,12,0.03,130,0.0,45563.01
髻,5,0.01,82,0.0,23697.19
跣,6,0.02,95,0.0,26455.44
眉,5,0.01,515,0.01,6149.56
雨,7,0.02,3794,0.04,6118.66
祝,5,0.01,956,0.01,1868.83
算,11,0.03,1398,0.02,6901.74
例,5,0.01,2249,0.03,3862.67
供,5,0.01,2551,0.03,4742.27
諾,5,0.01,358,0.0,8897.99
香,5,0.01,1286,0.01,101.66
梃,6,0.02,95,0.0,26455.44
酋,5,0.01,917,0.01,2147.64
